airline ID,name,iata,icao,country,active
1990,Dassault Falcon Service,None,Dso,France,N
1991,Data International,None,Dtn,Sudan,N
1992,Date Transformation Corp,None,Xdt,United States,N
1993,Dauair,D5,Dau,Germany,N
1994,David Crawshaw Consultants Limited,None,Dco,United Kingdom,N
1995,Dawn Air,None,Dwn,United States,N
1996,Dayjet,None,Djs,United States,N
1997,Daya Aviation,None,Day,Sri Lanka,N
1998,De Havilland,None,Dhc,Canada,N
1999,Deadalos Flugtbetriebs,None,Iay,Austria,N
2000,Decatur Aviation,None,Daa,United States,N
2001,Deccan Aviation,None,Dkn,India,N
2002,Deccan Aviation (Lanka),None,Dlk,Sri Lanka,N
2003,Deer Jet,None,Der,China,N
2004,Deere And Company,None,Jdc,United States,N
2005,Delaware Skyways,None,Dwr,United States,N
2006,Delta Aerotaxi,None,Dea,Italy,Y
2007,Delta Air Charter,None,Sno,Canada,N
2008,Delta Air Elite,None,Elj,United States,N
2009,Delta Air Lines,Dl,Dal,United States,Y
2010,Delta Engineering Aviation,None,Kmb,United Kingdom,N
2011,Delta Express International,None,Dli,Ukraine,N
2012,Delta State University,None,Dsu,United States,N
2013,Denim Air,None,Dnm,Netherlands,Y
2014,Denver Express,None,Fec,United States,N
2015,Denver Jet,None,Djt,United States,N
2016,Departmento De Agricultura De La Generalitat De Cataluna,None,Fgc,Spain,N
2017,Deraya Air Taxi,None,Dry,Indonesia,N
2018,Des R Cargo Express,None,Drx,Mauritania,N
2019,Desarrollo Milaz,None,Miz,Mexico,N
2020,Destiny Air Services,None,Dty,Sierra Leone,N
2021,Deutsche Bahn,2A,None,Germany,Y
2022,Deutsche Rettungsflugwacht,1I,Amb,Germany,N
2023,Deutsches Zentrum Fur Luft-Und Raumfahrt Ev,None,Lfo,Germany,N
2024,Di Air,None,Dis,Serbia,N
2025,Diamond Aviation,None,Spk,United States,N
2026,Didier Rousset Buy,None,Drb,Chile,N
2027,Digital Equipment Corporation,None,Dgt,United States,N
2028,Dinar,D7,Rdn,Argentina,N
2029,Diplomatic Freight Services,None,Dip,United Kingdom,N
2030,Direccion General De Aviacion Civil Y Telecomunicasciones,None,Ena,Spain,N
2031,Direct Air,None,Dia,United States,N
2032,Direct Air Trading As Midway Connection,None,Xap,United States,N
2033,Direct Flight,None,Dct,United Kingdom,N
2034,Sky Express,None,Sxp,Poland,N
2035,Dirgantara Air Service,Aw,Dir,Indonesia,N
2036,Discover Air,None,Dcv,United States,N
2037,Discovery Airways,Dh,Dva,United States,N
2038,Dispatch Services,None,Xds,United States,N
2039,Dix Aviation,None,Dix,Germany,N
2040,Dixie Airways,None,Dee,United States,N
2041,Djibouti Airlines,D8,Djb,Djibouti,Y
2042,Dniproavia,None,Udn,Ukraine,Y
2043,Flying Dolphin Airlines,None,Fdn,United Arab Emirates,N
2044,Dolphin Express Airlines,None,Ixx,United States,N
2045,Dome Petroleum,None,Dpl,Canada,N
2046,Dominguez Toledo (Grupo Mayoral),None,Myo,Spain,N
2047,Dominicana De Aviaci,Do,Doa,Dominican Republic,Y
